 1948 2016
 2001   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  15.50   3.25   6.75   0.00
 2002   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   8.00   2.75   0.00   0.00
 2003   0.00   0.00   0.00   0.00   0.00   0.00   2.00   2.25  23.00   5.50   0.00   0.00
 2004   0.00   0.00   0.00   0.00   0.00   0.00   0.00  15.25  29.75   0.50   0.00   0.00
 2005   0.00   0.00   0.00   0.00   0.00   0.00  11.25   7.00  16.75   9.75   0.00   5.00
 2006   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.25  19.50   1.50   0.00   0.00
 2007   0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.75   4.50   0.00   1.00   0.00
 2008   0.00   0.00   0.00   0.00   0.00   0.00   8.75   3.00  13.50   3.00   2.25   0.00
 2009   0.00   0.00   0.00   0.00   0.00   0.00   0.00   7.00   2.75   0.00   2.25   0.00
 2010   0.00   0.00   0.00   0.00   0.00   1.00   0.50   9.50  18.50   7.50   1.50   0.00
 2011   0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.25  12.25   7.50   0.00   0.00
 2012   0.00   0.00   0.00   0.00   0.00   0.75   0.00   6.00  13.75   8.00   0.00   0.00
 2013   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.25   0.00   0.00   0.00
 2014   0.00   0.00   0.00   0.00   0.00   0.00   2.25   4.25   4.50   6.75   0.00   0.00
 2015   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.50   1.00   6.50   1.00   0.00
 2016   1.25   0.00   0.00   0.00   0.00   0.00   0.00   6.00   3.50  15.50   1.50   0.00
 -99.0
 Number of days with hurricane in Atlantic
 From Phil Klotzbach
 stored Jan 2 2018
 NOAA/ESRL PSD
 https://www.esrl.noaa.gov/psd/
